koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm,ces_total,ces_per_1000_view,weighted_engagement_per_view,high_weight_engagement_ratio,like_rate,collect_rate,comment_rate,share_rate,interaction_rate,deep_demand_ratio,note_quote,ces_unit_price,ad_value_per_1000_view,video_cpe_calc,video_cpm_calc,post_cpe_calc,post_cpm_calc,commercial_traffic_drop_pct
FitMoMo,low,budy_building,220000,1,2237,89,40,6,23,1,18000.0,21.9,1453.75,9000.0,0.0,0.0,245,109.521681,0.10952168,0.1835443,0.03978543,0.01788109,0.00268216,0.01028163,0.07063031,0.29113924,18000.0,73.46938776,8046.490836,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
FitMoMo,low,budy_building,220000,1,838,34,28,4,4,0,18000.0,21.9,1453.75,9000.0,0.0,0.0,94,112.171838,0.11217184,0.11428571,0.04057279,0.03341289,0.00477327,0.00477327,0.08353222,0.45714286,18000.0,191.4893617,21479.713604,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
FitMoMo,low,budy_building,220000,3,11000,523,117,44,99,0,18000.0,21.9,1453.75,9000.0,0.0,0.0,1212,110.181818,0.11018182,0.18263091,0.04754545,0.01063636,0.004,0.009,0.07118182,0.20561941,18000.0,14.85148515,1636.363636,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
FitMoMo,low,budy_building,220000,1,2922,133,59,5,26,1,18000.0,21.9,1453.75,9000.0,0.0,0.0,316,108.145106,0.10814511,0.13901345,0.04551677,0.02019165,0.00171116,0.00889802,0.07631759,0.28699552,18000.0,56.96202532,6160.164271,19.05165114,1457.973902,9.52582557,728.986951,-306.1216
YIX39868390,low,budy_building,69800,3,23000,885,870,9,185,0,2800.0,0.92,75.08,1000.0,0.0,0.0,2531,110.043478,0.11004348,0.09953822,0.03847826,0.03782609,0.0003913,0.00804348,0.08473913,0.45100051,2800.0,1.1062821,121.73913,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,0,1201,72,26,0,7,0,2800.0,0.92,75.08,1000.0,0.0,0.0,126,104.912573,0.10491257,0.06666667,0.05995004,0.02164863,0.0,0.00582848,0.08742714,0.24761905,2800.0,22.22222222,2331.390508,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,1,18000,994,487,7,97,0,2800.0,0.92,75.08,1000.0,0.0,0.0,1897,105.388889,0.10538889,0.06561514,0.05522222,0.02705556,0.00038889,0.00538889,0.08805556,0.31167192,2800.0,1.47601476,155.555556,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,1,47000,2035,1832,16,283,0,2800.0,0.92,75.08,1000.0,0.0,0.0,5063,107.723404,0.1077234,0.07177148,0.04329787,0.03897872,0.00034043,0.00602128,0.0886383,0.44359097,2800.0,0.5530318,59.574468,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,0,3681,182,160,6,9,0,2800.0,0.92,75.08,1000.0,0.0,0.0,402,109.209454,0.10920945,0.04201681,0.04944309,0.04346645,0.00162999,0.00244499,0.09698452,0.46498599,2800.0,6.96517413,760.662863,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,3,9876,357,371,20,72,0,2800.0,0.92,75.08,1000.0,0.0,0.0,1096,110.976104,0.1109761,0.11219512,0.03614824,0.03756582,0.00202511,0.0072904,0.08302957,0.47682927,2800.0,2.55474453,283.515593,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,1,166000,12000,3296,402,255,0,2800.0,0.92,75.08,1000.0,0.0,0.0,17924,107.975904,0.1079759,0.04118348,0.07228916,0.01985542,0.00242169,0.00153614,0.09610241,0.23180593,2800.0,0.15621513,16.86747,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,1,204000,8280,7279,153,1530,0,2800.0,0.92,75.08,1000.0,0.0,0.0,22291,109.269608,0.10926961,0.09761049,0.04058824,0.03568137,0.00075,0.0075,0.08451961,0.43104048,2800.0,0.12561123,13.72549,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,1,36000,1678,1468,41,140,0,2800.0,0.92,75.08,1000.0,0.0,0.0,3870,107.5,0.1075,0.05440337,0.04661111,0.04077778,0.00113889,0.00388889,0.09241667,0.45356177,2800.0,0.72351421,77.777778,0.60880153,54.386568,0.21742912,19.423774,100.0
YIX39868390,low,budy_building,69800,1,6075,251,178,11,48,0,2800.0,0.92,75.08,1000.0,0.0,0.0,665,109.465021,0.10946502,0.12090164,0.04131687,0.02930041,0.0018107,0.00790123,0.08032922,0.38729508,2800.0,4.21052632,460.90535,0.60880153,54.386568,0.21742912,19.423774,100.0
945924693,low,budy_building,85700,3,12000,715,275,32,0,0,980.0,0.23,26.81,714.0,0.66,70.31,1118,93.166667,0.09316667,0.03131115,0.05958333,0.02291667,0.00266667,0.0,0.08516667,0.30039139,980.0,0.8765653,81.666667,0.3164557,27.736111,0.23056058,20.207738,-922.6956
945924693,low,budy_building,85700,3,11000,744,261,21,24,0,980.0,0.23,26.81,714.0,0.66,70.31,1185,107.727273,0.10772727,0.04285714,0.06763636,0.02372727,0.00190909,0.00218182,0.09545455,0.26857143,980.0,0.82700422,89.090909,0.3164557,27.736111,0.23056058,20.207738,-922.6956
945924693,low,budy_building,85700,1,989,40,11,12,4,1,980.0,0.23,26.81,714.0,0.66,70.31,115,116.27907,0.11627907,0.23880597,0.04044489,0.01112235,0.01213347,0.00404449,0.0677452,0.34328358,980.0,8.52173913,990.899899,0.3164557,27.736111,0.23056058,20.207738,-922.6956
945924693,low,budy_building,85700,1,2630,164,51,11,6,0,980.0,0.23,26.81,714.0,0.66,70.31,283,107.604563,0.10760456,0.07327586,0.06235741,0.01939163,0.00418251,0.00228137,0.08821293,0.26724138,980.0,3.46289753,372.623574,0.3164557,27.736111,0.23056058,20.207738,-922.6956
945924693,low,budy_building,85700,1,4341,283,103,12,7,0,980.0,0.23,26.81,714.0,0.66,70.31,462,106.427091,0.10642709,0.04691358,0.06519235,0.02372725,0.00276434,0.00161253,0.09329648,0.28395062,980.0,2.12121212,225.754434,0.3164557,27.736111,0.23056058,20.207738,-922.6956
945924693,low,budy_building,85700,3,40000,2624,447,71,197,0,980.0,0.23,26.81,714.0,0.66,70.31,4143,103.575,0.103575,0.08026355,0.0656,0.011175,0.001775,0.004925,0.083475,0.15513627,980.0,0.23654357,24.5,0.3164557,27.736111,0.23056058,20.207738,-922.6956
945924693,low,budy_building,85700,1,6538,378,144,39,10,0,980.0,0.23,26.81,714.0,0.66,70.31,718,109.819517,0.10981952,0.08581436,0.05781585,0.02202508,0.00596513,0.00152952,0.08733558,0.32049037,980.0,1.36490251,149.892934,0.3164557,27.736111,0.23056058,20.207738,-922.6956
