koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm
wsxmm1217,low,budy_building,56900,5,114,4,1,1,1,0,6800.00,3.52,262.89,4000.00,0.00,0.00
wsxmm1217,low,budy_building,56900,1,377,20,0,6,0,0,6800.00,3.52,262.89,4000.00,0.00,0.00
wsxmm1217,low,budy_building,56900,3,2048,161,21,3,4,0,6800.00,3.52,262.89,4000.00,0.00,0.00
wsxmm1217,low,budy_building,56900,1,4686,345,45,10,14,0,6800.00,3.52,262.89,4000.00,0.00,0.00
wsxmm1217,low,budy_building,56900,3,8492,667,103,10,15,0,6800.00,3.52,262.89,4000.00,0.00,0.00
wsxmm1217,low,budy_building,56900,3,7619,491,76,25,35,0,6800.00,3.52,262.89,4000.00,0.00,0.00
wsxmm1217,low,budy_building,56900,5,3221,218,29,10,13,0,6800.00,3.52,262.89,4000.00,0.00,0.00
wsxmm1217,low,budy_building,56900,5,269000,17000,2633,629,1686,0,6800.00,3.52,262.89,4000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,3,3567,272,58,2,7,0,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,5,16000,1018,577,5,24,0,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,3,8932,656,135,15,19,0,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,3,11000,721,209,6,36,0,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,5,5548,328,104,19,22,1,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,3,14000,991,312,15,37,0,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,3,159000,11000,3514,77,378,0,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,5,16000,1018,577,5,24,1,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,3,8932,656,135,15,19,0,8000.00,2.47,228.70,8000.00,0.00,0.00
GraceKwan73,low,budy_building,87500,3,11000,721,209,6,36,0,8000.00,2.47,228.70,8000.00,0.00,0.00
y02287777,low,make_up,29200,1,558,223,118,3,3,1,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,0,4312,338,106,15,4,0,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,3,1197,65,21,1,0,0,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,0,2950,244,67,19,0,1,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,1,558,223,118,3,3,1,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,0,3312,238,106,27,9,0,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,3,1197,65,21,1,0,0,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,0,2950,244,67,19,0,1,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,1,2312,338,106,15,70,1,4000.00,0.00,0.00,2500.00,8.22,1109.02
y02287777,low,make_up,29200,0,1836,34,57,9,0,0,4000.00,0.00,0.00,2500.00,8.22,1109.02
2653955016,low,make_up,34300,0,1516,607,171,39,13,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,3,2112,618,180,11,16,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,5,3249,578,198,47,13,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,5,6585,701,67,38,31,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,3,9994,748,214,31,30,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,1,9874,666,242,13,51,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,3,7378,788,202,19,33,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,0,6192,697,188,28,22,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,5,1192,297,123,23,22,1,1000.00,0.00,0.00,3200.00,3.84,575.58
2653955016,low,make_up,34300,5,2193,284,145,34,56,1,1000.00,0.00,0.00,3200.00,3.84,575.58
zz0412,low,make_up,55600,0,6300,1104,434,34,45,1,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,3,36000,2313,1257,296,75,1,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,1,13000,363,231,43,10,1,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,1,38000,3644,1884,309,338,1,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,0,29000,1184,565,78,103,1,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,1,45000,2881,2237,170,470,1,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,3,7852,616,263,44,10,0,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,3,72000,2002,1128,111,707,1,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,0,26000,2958,978,84,127,1,7500.00,0.00,0.00,7500.00,1.13,88.24
zz0412,low,make_up,55600,5,56000,2882,1778,162,333,1,7500.00,0.00,0.00,7500.00,1.13,88.24
AP_nora,low,make_up,96100,1,2578,227,32,33,6,0,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,3,6443,729,86,37,3,0,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,1,5689,727,332,42,20,1,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,1,39000,13000,2176,104,138,1,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,3,3026,523,60,32,4,0,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,1,34000,9929,530,78,79,1,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,1,3720,369,34,36,7,0,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,3,5242,900,177,44,11,1,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,1,2493,340,62,30,4,0,6000.00,1.80,414.39,4600.00,0.94,273.04
AP_nora,low,make_up,96100,3,8200,1449,107,46,24,1,6000.00,1.80,414.39,4600.00,0.94,273.04
117444355,low,make_up,94200,1,58000,7402,2821,68,60,1,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,1,305000,5555,2742,30,361,1,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,1,1365,90,46,1,1,1,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,1,1391,78,44,3,4,0,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,3,990,56,26,7,0,0,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,1,259000,5285,2632,103,371,0,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,3,157000,5134,3517,79,239,0,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,1,50000,2086,880,45,25,1,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,1,73000,1711,355,49,12,1,18000.00,2.60,164.29,12000.00,0.00,0.00
117444355,low,make_up,94200,1,395000,23000,4837,64,90,1,18000.00,2.60,164.29,12000.00,0.00,0.00
262812264,low,make_up,77100,3,11000,653,397,18,14,0,7500.00,1.26,48.63,6000.00,0.00,0.00
262812264,low,make_up,77100,1,2034,155,24,5,3,1,7500.00,1.26,48.63,6000.00,0.00,0.00
262812264,low,make_up,77100,1,255000,15000,6710,669,1310,0,7500.00,1.26,48.63,6000.00,0.00,0.00
262812264,low,make_up,77100,3,23000,1925,742,26,47,1,7500.00,1.26,48.63,6000.00,0.00,0.00
262812264,low,make_up,77100,3,263,10,2,5,0,0,7500.00,1.26,48.63,6000.00,0.00,0.00
262812264,low,make_up,77100,5,1090000,19000,8107,570,1043,0,7500.00,1.26,48.63,6000.00,0.00,0.00
262812264,low,make_up,77100,1,7423,132,35,6,8,0,7500.00,1.26,48.63,6000.00,0.00,0.00
